RegionID,SizeRank,Neighborhood,RegionType,StateName,State,City,Metro,CountyName,Income,Year,Type
269593,1282,The Loop,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
269590,1026,Lincoln Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,64,2019,income
269587,970,Irving Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
403303,968,Gold Coast,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,66,2019,income
403322,2726,West Loop Gate,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
403280,15425,Schorsch Forest View,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,64,2019,income
403342,2830,New Eastside,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
269603,882,O'Hare,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
403141,782,University Village - Little Italy,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
269573,774,Avondale,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,68,2019,income
403300,3091,River North,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,64,2019,income
137841,737,Clearing,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
269586,692,Hyde Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
137603,689,Bucktown,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
269600,653,North Center,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,68,2019,income
269599,889,Near West Side,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
403325,906,Galewood,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,64,2019,income
269566,154,Albany Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
269609,159,Uptown,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,66,2019,income
269592,53,Logan Square,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,67,2019,income
269605,171,Rogers Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,64,2019,income
403169,106,West Rogers Park,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
269589,163,Lake View,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,69,2019,income
269977,3813,Downtown,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,80,2019,income
274112,3468,Islandview,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,79,2019,income
269950,7419,Art Center,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,79,2019,income
270028,2346,Midtown,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,78,2019,income
276225,11412,Brush Park,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,81,2019,income
270055,11639,Rivertown,Neighborhood,MI,MI,Detroit,Detroit-Warren-Dearborn,Wayne County,79,2019,income
268010,1374,Atwater Village,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,67,2019,income
268551,456,Valley Village,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
38888,488,Harbor City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
268097,493,Crenshaw,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
274359,440,Los Feliz,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
27484,457,Tujunga,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
116206,368,Lincoln Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
403192,413,Harvard Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
268548,131,Valley Glen,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,72,2019,income
27431,1780,Toluca Lake,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
114808,382,Eagle Rock,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,71,2019,income
115836,379,Jefferson Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
27080,85,Sherman Oaks,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
113910,360,Brentwood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
268316,2365,Montecito Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
21056,351,Venice,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
268103,1502,Cypress Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
274514,62,Mid City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
268134,529,Echo Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
13176,112,Panorama City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
48570,83,Woodland Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
268236,82,Koreatown,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
116774,750,Mount Washington,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
40215,86,Pacoima,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
27328,866,Sunland,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
54300,79,San Pedro,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
276514,886,Playa Del Rey,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
276023,99,Westlake,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
40548,100,Reseda,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
46795,78,North Hollywood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
113886,75,Boyle Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
268057,628,Central City East,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
34213,74,Sylmar,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
41131,68,Sun Valley,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
41466,64,Van Nuys,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
275024,556,Pico-Robertson,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
273825,540,Glassell Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
19810,538,Pacific Palisades,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
118887,1179,West Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
113749,1200,Beverly Crest,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
117954,338,Sawtelle,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
268581,502,West Adams,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
274049,333,Hollywood Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
268404,770,Pico-Union,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
115729,330,Park Mesa Heights,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
114246,3269,Century City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
48516,155,Wilmington,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
30731,157,Canoga Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
13327,3731,Playa Vista,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
403184,331,Del Rey,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
274517,258,Mid Wilshire,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
273930,255,Harbor Gateway,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,67,2019,income
118849,253,Watts,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
116415,238,Mar Vista,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
47950,283,Tarzana,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
32059,18,Hollywood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
114914,219,El Sereno,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
117183,217,Palms,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
276450,208,Mid City West,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
51906,201,Encino,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,72,2019,income
32368,199,Lake Balboa,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
27987,195,Winnetka,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
115609,181,Highland Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,73,2019,income
273197,165,Central City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
268588,288,West Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
118920,160,Westwood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,67,2019,income
403191,2819,Elysian Valley,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
37835,304,Chatsworth,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
13017,136,North Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
7877,301,Westchester,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,67,2019,income
268118,312,Downtown,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,68,2019,income
268473,296,Silver Lake,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,70,2019,income
47880,298,Studio City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,69,2019,income
270841,5608,DUMBO,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
35961,1012,Rockaway Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,65,2019,income
199001,17,Williamsburg,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,67,2019,income
270875,66,Lower East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,64,2019,income
272902,16,Bedford Stuyvesant,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
18131,70,Flushing,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
270968,914,Windsor Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,67,2019,income
270945,40,Sunset Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,65,2019,income
272816,14,Astoria,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
195267,25,Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,67,2019,income
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
272869,887,Battery Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,64,2019,income
196620,2810,New Springville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,64,2019,income
10957,38,Corona,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
270885,828,Midtown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,66,2019,income
194379,35,East Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
273903,819,Greenwood,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,65,2019,income
343206,2659,Woodlawn,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,67,2019,income
193587,34,Bushwick,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
198687,11,Washington Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,69,2019,income
32192,1058,Jamaica Estates,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
343219,1112,Riverdale,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,67,2019,income
270811,1063,Carroll Gardens,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,65,2019,income
403223,48,Elmhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
197623,1502,Rossville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,67,2019,income
403131,54,Sheepshead Bay,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
270928,1538,SoHo,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,64,2019,income
275754,1466,Tottenville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,64,2019,income
193285,45,Bensonhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
274627,1627,Murray Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,66,2019,income
270825,1448,Downtown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
343205,56,Soundview,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,69,2019,income
193640,59,Canarsie,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,66,2019,income
25294,24,Jamaica,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
193406,44,Borough Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
20239,1346,Roosevelt Island,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,65,2019,income
270817,41,Concourse,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,67,2019,income
5837,173,Maspeth,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,64,2019,income
270800,1257,Bay Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,64,2019,income
343222,29,Williamsbridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,64,2019,income
403202,1237,St. George,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,69,2019,income
403222,23,Crown Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,66,2019,income
194737,20,Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
196350,1827,Midland Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,69,2019,income
55801,1148,Glen Oaks,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
270828,30,East Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,69,2019,income
270816,2238,Cobble Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
193189,174,Bay Ridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
272994,1273,Boerum Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,69,2019,income
270815,491,Clinton Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,66,2019,income
270850,189,Hamilton Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,64,2019,income
199091,188,Woodside,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
273478,497,Douglaston-Little Neck,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
270907,498,Pelham Bay,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,69,2019,income
273860,143,Gramercy,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,69,2019,income
270848,341,Greenpoint,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
195087,500,Great Kills,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,64,2019,income
274676,530,Kew Gardens,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,64,2019,income
196338,369,Middle Village,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
275552,305,St. Albans,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
194318,300,Dyker Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
403217,153,Kensington,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
26254,539,Oakland Gardens,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
197044,109,Park Slope,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
195133,216,Greenwich Village,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,69,2019,income
403206,465,Flatiron District,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,64,2019,income
8349,444,College Point,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
276254,203,Chelsea,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,66,2019,income
193182,128,Bath Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
275620,212,Sunnyside,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,69,2019,income
403215,126,Gravesend,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,64,2019,income
57348,229,Kew Gardens Hills,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,64,2019,income
343220,364,Kingsbridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,69,2019,income
21970,464,Howard Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,66,2019,income
37309,192,Bayside,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,64,2019,income
193476,404,Brighton Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,69,2019,income
270835,405,Financial District,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,66,2019,income
